NUMERO;TIPO;NOME
1;CF;CF
12;Resolução;Divergência Turma Recursal estadual vs STJ
87;LC;ICMS
94;LC;RIDE-Autorização
101;LC;Responsabilidade Fiscal
123;LC;Microempresa
201;DL;Crime de responsabilidade
2220;MP;Concessão de uso especial de bem público
2848;DL;Código Penal
3365;DL;Desapropriação
3689;DL;Código de Processo Penal
4320;;Normas gerais financeiras
4657;DL;LINDB
4717;;Ação popular
5172;DL;CTN
5452;DL;CLT
6015;;Registros públicos
6404;;Sociedades por ações
6766;;Parcelamento de solo urbano
6830;;Execução fiscal
6938;;Política nacional do meio ambiente
7210;;Execução penal
7347;;Ação civil pública
7892;;Sistema de registro de preços
7960;;Prisão temporária
8038;;Processo STF e STJ
8078;;Consumidor
8112;;Servidores públicos
8137;;Crimes contra ordem tributária, econômica e consumo
8245;;Locação
8397;;Medida cautelar fiscal
8429;;Improbidade administrativa
8666;;Licitações
8906;;OAB
8934;;Registro público de empresas mercantis
8987;;Serviços públicos
9099;;Juizados especiais
9279;;Propriedades industriais
9296;;Interceptação telefônica
9433;;Recursos hídricos
9455;;Tortura
9469;;Fazenda pública
9605;;Crimes ambientais
9784;;Processo administrativo
9882;;ADPF
9985;;Unidades de conservação
10257;;Estatuto da cidade
10259;;Juizados especiais federais
10406;;Código civil
10741;;Idoso
11079;;PPP
11101;;Falências
11107;;Consórcios públicos
11977;;Minha casa minha vida
12016;;Mandado de segurança
12153;;Juizados especiais da Fazenda Pública
12424;;Minha casa minha vida
12462;;Regime diferenciado de contratações
12562;;ADI Interventiva
12651;;Código florestal
13105;;Código de Processo Civil
13300;;Mandado de injunção
13303;;Estatuto das estatais
13869;;Abuso de autoridade
14133;;Licitações